Player,Pos,40yd,Round
La'Mical Perine,RB,4.62,4
Malcolm Perry,WR,4.63,7
Scottie Phillips,RB,4.56,Undrafted
Jared Pinkney,TE,4.96,Undrafted
Michael Pittman,WR,4.52,2
Jalen Reagor,WR,4.47,1
Joe Reed,WR,4.47,5
James Robinson,RB,4.64,Undrafted
Kendrick Rogers,WR,4.51,Undrafted
Nate Stanley,QB,4.81,7
Stephen Sullivan,TE,4.66,7
Freddie Swain,WR,4.46,6
D'Andre Swift,RB,4.48,2
Charlie Taumoepeau,TE,4.75,Undrafted
J.J. Taylor,RB,4.61,Undrafted
Jonathan Taylor,RB,4.39,2
Patrick Taylor,RB,4.57,Undrafted
Jeff Thomas,WR,4.45,Undrafted
Adam Trautman,TE,4.8,3
Ke'Shawn Vaughn,RB,4.51,3
Ben Victor,WR,4.6,Undrafted
Quez Watkins,WR,4.35,6
Cody White,WR,4.66,Undrafted
Mitchell Wilcox,TE,4.88,Undrafted
Charlie Woerner,TE,4.78,6
Dom Wood-Anderson,TE,4.92,Undrafted
