Player,Pos,40yd,Round
Aaron Murray,QB,4.84,5
De'Anthony Thomas,RB,4.39,4
Marion Grice,RB,4.67,6
Tevin Reese,WR,4.46,7
Tre Mason,RB,4.5,3
Jarvis Landry,WR,4.65,2
Matt Hazel,WR,4.5,6
Arthur Lynch,TE,4.82,5
Teddy Bridgewater,QB,NA,1
Jerick McKinnon,RB,4.41,3
Jeremy Gallon,WR,4.49,7
James White,RB,4.57,4
Jimmy Garoppolo,QB,4.97,2
Brandin Cooks,WR,4.33,1
Andre Williams,RB,4.56,4
Odell Beckham Jr.,WR,4.38,1
Shaquelle Evans,WR,4.51,4
Quincy Enunwa,WR,4.41,6
Jalen Saunders,WR,4.44,4
Tajh Boyd,QB,4.84,6
Jace Amaro,TE,4.74,2
Derek Carr,QB,4.69,2
Josh Huff,WR,4.51,3
Jordan Matthews,WR,4.46,2
Dri Archer,WR,4.26,3
Martavis Bryant,WR,4.42,4
Rob Blanchflower,TE,4.82,7
Carlos Hyde,RB,4.62,2
Bruce Ellington,WR,4.45,4
Kevin Norwood,WR,4.48,4
Paul Richardson,WR,4.4,2
Austin Seferian-Jenkins,TE,4.75,2
Robert Herron,WR,4.48,6
Mike Evans,WR,4.53,1
Charles Sims,RB,4.48,3
Zach Mettenberger,QB,NA,6
Bishop Sankey,RB,4.49,2
Lache Seastrunk,RB,4.51,6
Ryan Grant,WR,4.64,5
J.J. Nelson,WR,4.28,5
David Johnson,RB,4.5,3
Gerald Christian,TE,4.87,7
Justin Hardy,WR,4.56,4
Tevin Coleman,RB,4.4,3
Breshad Perriman,WR,NA,1
Javorius Allen,RB,4.53,4
Darren Waller,WR,4.46,6
Maxx Williams,TE,4.78,2
Nick Boyle,TE,5.04,5
Nick O'Leary,TE,4.93,6
Karlos Williams,RB,4.48,5
Cameron Artis-Payne,RB,4.53,5
Devin Funchess,WR,4.7,2
Kevin White,WR,4.35,1
Jeremy Langford,RB,4.42,4
Mario Alford,WR,4.43,7
Tyler Kroft,TE,4.75,3
Randall Telfer,TE,4.83,6
Duke Johnson,RB,4.54,3
Vince Mayle,WR,4.67,4
Jeff Heuerman,TE,4.81,3
Ameer Abdullah,RB,4.6,2
Ty Montgomery,WR,4.55,3
Brett Hundley,QB,4.63,5
Keith Mumphery,WR,4.54,5
Jaelen Strong,WR,4.44,3
Kenny Hilliard,RB,4.83,7
Phillip Dorsett,WR,4.33,1
Josh Robinson,RB,4.7,6
T.J. Yeldon,RB,4.61,2
Rashad Greene,WR,4.53,5
Ben Koyack,TE,4.79,7
Chris Conley,WR,4.35,3
Da'Ron Brown,WR,4.54,7
Melvin Gordon,RB,4.52,1
Sean Mannion,QB,5.14,3
Todd Gurley,RB,4.52,1
DeVante Parker,WR,4.45,1
Jay Ajayi,RB,4.57,5
Tony Lippett,WR,4.61,5
MyCole Pruitt,TE,4.58,5
Stefon Diggs,WR,4.46,5
Marcus Murphy,RB,4.61,7
Garrett Grayson,QB,4.75,3
Geremy Davis,WR,4.49,6
Bryce Petty,QB,4.87,4
Devin Smith,WR,4.42,2
Amari Cooper,WR,4.42,1
Clive Walford,TE,4.79,3
Nelson Agholor,WR,4.42,1
Jesse James,TE,4.83,5
Sammie Coates,WR,4.43,3
Mike Davis,RB,4.61,4
Rory Anderson,TE,4.73,7
Blake Bell,TE,4.8,4
DeAndre Smelter,WR,4.52,4
Tyler Lockett,WR,4.4,3
Jameis Winston,QB,4.97,1
Kenny Bell,WR,4.42,5
Kaelin Clay,WR,4.51,6
Marcus Mariota,QB,4.52,1
Tre McBride,WR,4.41,7
Dorial Green-Beckham,WR,4.49,2
David Cobb,RB,4.81,5
Matt Jones,RB,4.61,3
Jamison Crowder,WR,4.56,4
Austin Hooper,TE,4.72,3
Chris Moore,WR,4.53,4
Kenneth Dixon,RB,4.56,4
Jonathan Williams,RB,4.56,5
Cardale Jones,QB,4.81,4
Kolby Listenbee,WR,4.39,6
Beau Sandland,TE,4.74,7
Jordan Howard,RB,4.57,5
Tyler Boyd,WR,4.58,2
Cody Core,WR,4.47,6
Corey Coleman,WR,4.42,1
Cody Kessler,QB,4.89,3
Jordan Payton,WR,4.47,5
Ricardo Louis,WR,4.43,4
Rashard Higgins,WR,4.64,5
Ezekiel Elliott,RB,4.47,1
Dak Prescott,QB,4.79,4
Devontae Booker,RB,4.56,4
Paxton Lynch,QB,4.86,1
Trevor Davis,WR,4.42,5
Braxton Miller,WR,4.5,3
Will Fuller,WR,4.32,1
Tyler Ervin,RB,4.41,4
Brandon Allen,QB,4.84,6
Kevin Hogan,QB,4.78,5
Demarcus Robinson,WR,4.59,4
Hunter Henry,TE,4.79,2
Tyler Higbee,TE,4.77,4
Temarrick Hemingway,TE,4.71,6
Jared Goff,QB,4.82,1
Pharoh Cooper,WR,4.52,4
Kenyan Drake,RB,4.45,3
Thomas Duarte,TE,4.72,7
Brandon Doughty,QB,5.22,7
Leonte Carroo,WR,4.5,3
Laquon Treadwell,WR,4.52,1
David Morgan,TE,NA,6
Malcolm Mitchell,WR,4.45,4
Jacoby Brissett,QB,4.94,3
Daniel Lasco,RB,4.46,7
Michael Thomas,WR,4.57,2
Sterling Shepard,WR,4.48,2
Paul Perkins,RB,4.54,5
Jerell Adams,TE,4.64,6
Christian Hackenberg,QB,4.78,2
Charone Peake,WR,4.45,7
Deandre Washington,RB,4.49,5
Connor Cook,QB,4.79,4
Carson Wentz,QB,4.77,1
Wendell Smallwood,RB,4.47,5
Demarcus Ayers,WR,4.72,7
Kelvin Taylor,RB,4.6,6
Jeff Driskel,QB,4.56,6
Aaron Burbridge,WR,4.56,6
C.J. Prosise,RB,4.48,3
Alex Collins,RB,4.59,5
Nick Vannett,TE,4.76,3
Kenny Lawler,WR,4.64,7
Tajae Sharpe,WR,4.55,5
Derrick Henry,RB,4.54,2
Nate Sudfeld,QB,5.02,6
Keith Marshall,RB,4.31,7
Josh Doctson,WR,4.5,1
T.J. Logan,RB,4.37,5
Eric Saubert,TE,NA,5
Brian Hill,RB,4.54,5
